Jam_Operasi,Suhu_Motor,Getaran,Tekanan_Oli,Arus_Listrik,Umur_Sisa_Mesin
5359,75.08,3.22,2.96,9.36,1903.95
6831,57.51,2.17,3.32,7.0,1969.62
9071,75.71,2.01,3.14,8.27,1945.47
9184,95.02,2.37,3.1,7.32,1892.61
7708,74.7,2.66,2.88,7.98,1946.19
5776,53.01,1.97,2.96,6.65,1931.78
2562,71.77,2.18,3.4,6.72,1875.36
564,51.69,2.82,1.99,6.36,2007.24
8506,101.67,2.63,2.99,9.69,1859.92
3068,92.36,2.35,3.14,8.34,1983.66
5963,63.34,1.11,3.39,9.84,1953.85
2527,47.54,2.5,2.49,10.05,1946.28
3195,61.22,1.72,2.47,7.08,1857.53
5758,68.19,3.29,3.29,9.76,2003.23
6118,52.38,2.25,2.05,7.97,1916.44
7236,69.31,1.7,3.67,7.68,1962.08
891,68.12,2.45,3.11,10.5,1947.63
6392,71.25,3.52,3.78,9.11,1909.39
4061,72.3,3.0,2.46,7.3,1946.62
6684,60.34,2.68,2.78,8.98,1928.5
3599,61.47,1.44,1.8,5.47,1938.41
6778,70.46,3.8,2.6,8.49,1915.67
8892,63.69,2.0,2.91,5.0,1946.11
3604,79.07,3.25,2.02,6.03,1961.89
7715,70.36,2.24,2.8,9.17,1923.13
2954,88.65,3.17,2.01,2.66,1973.86
9496,78.2,3.55,2.87,11.61,1878.43
3231,81.04,3.02,3.57,9.67,2048.31
8654,71.33,3.1,2.98,4.32,1993.59
5556,71.57,2.42,3.83,12.8,1965.23
8610,87.31,2.15,3.39,13.35,1809.68
4340,66.22,2.61,3.67,7.64,1971.56
1528,75.47,2.23,2.62,6.15,1937.75
7885,67.34,4.47,2.61,11.37,1857.25
1002,67.31,1.71,3.17,7.31,1943.52
7410,58.31,3.3,2.21,8.32,1877.51
9562,62.57,2.91,3.24,10.43,1935.04
7438,60.72,2.68,2.84,7.69,2006.14
4988,75.94,3.68,3.66,7.52,1971.22
706,80.4,2.74,3.34,5.46,2095.27
5634,69.05,1.99,3.55,6.74,1860.47
6477,72.3,2.73,2.62,7.48,1900.99
8221,68.48,2.35,3.52,5.52,1878.21
7535,61.89,2.9,3.72,5.7,1989.62
1984,78.62,3.15,2.98,8.07,1933.57
8358,76.53,1.81,2.63,4.3,1934.49
1363,51.07,3.46,2.64,6.24,1988.17
3290,67.17,2.3,3.62,11.89,1868.56
7908,61.18,2.85,4.34,7.31,1894.5
9255,66.09,2.99,2.51,7.06,1963.24
5616,63.3,2.79,2.47,7.3,1905.57
6519,69.54,2.41,3.46,7.33,1844.74
2257,66.7,2.11,2.62,9.15,1904.56
8074,66.49,2.28,3.51,9.01,1907.47
6874,81.07,3.75,3.23,7.22,1926.53
7392,75.57,1.81,2.99,7.57,1922.4
2178,62.96,1.92,3.22,10.63,1920.41
3742,64.44,1.89,3.19,4.98,1998.38
5136,74.92,2.61,2.91,7.88,1926.34
1559,74.9,1.28,2.12,8.27,1965.64
7168,63.96,1.42,3.09,6.45,1906.33
3657,67.66,2.29,3.79,7.77,2021.34
6415,88.47,1.47,2.2,6.18,1909.58
3193,64.13,1.53,2.52,9.27,1952.02
4127,89.11,1.48,3.21,5.32,1995.42
5950,81.04,1.82,3.02,10.12,1941.7
2163,87.25,3.08,3.21,7.85,1955.01
6092,63.71,3.26,2.65,7.1,1830.09
7892,68.31,4.04,3.58,5.99,1952.05
1806,65.51,4.01,3.02,10.06,1945.0
7276,81.27,3.13,3.35,6.7,1947.32
6364,64.32,3.32,3.16,5.67,1939.26
9974,77.31,2.6,3.09,10.1,1877.01
8026,76.78,2.92,3.31,6.19,1964.29
9401,69.52,4.05,3.09,7.81,1916.26
6075,82.99,2.8,2.4,9.64,1856.6
6030,71.08,3.42,3.54,8.32,1991.45
4913,78.34,1.75,3.41,11.46,1861.29
4248,65.05,1.97,1.95,6.33,1988.85
1163,62.77,2.75,2.67,7.58,2029.92
2498,77.31,2.62,3.52,7.73,1891.35
8494,74.31,2.0,2.09,9.24,1909.42
1995,72.43,4.43,3.47,10.58,1926.42
3804,66.56,2.64,2.93,8.15,1932.9
4263,85.49,2.15,3.67,7.72,2029.56
5732,58.83,2.62,3.0,5.03,1884.31
2353,58.29,2.52,2.64,8.22,1935.77
7085,79.42,2.65,3.15,6.7,1998.92
1791,78.6,1.23,2.98,9.24,1937.27
4081,73.54,3.53,2.59,7.18,1887.5
8054,67.12,3.58,4.11,7.52,1931.78
7780,75.02,3.68,2.51,5.08,1957.88
2136,87.21,2.76,1.88,4.38,1926.9
4196,95.16,3.03,3.79,11.72,1953.04
1198,53.44,1.81,2.71,8.26,1893.13
5237,65.81,3.17,2.85,8.81,1864.66
1354,65.18,2.7,2.82,6.18,1934.54
8664,86.27,2.13,2.72,9.75,1940.46
6355,45.19,3.19,2.62,9.39,1967.95
7892,75.14,3.22,2.5,6.4,1858.2
7028,67.43,2.55,3.03,5.88,1965.34
5749,86.38,2.85,2.8,6.53,1935.22
5672,85.01,1.67,3.37,7.94,1888.66
2207,73.66,3.49,3.24,8.33,1876.69
6291,54.2,1.78,2.54,8.08,1947.84
6035,64.26,1.94,3.05,10.6,1995.53
5431,65.36,2.55,2.79,6.57,1937.99
4010,56.74,3.39,2.5,5.83,1895.49
702,81.55,3.39,3.34,8.0,1856.35
4718,55.47,2.5,2.94,4.61,2022.71
9458,89.65,3.12,2.8,9.39,1953.82
4889,89.63,1.15,2.57,8.2,1950.86
2827,66.15,1.92,2.49,7.32,2024.32
8504,73.28,1.94,3.99,7.21,1934.16
3431,69.28,3.5,3.17,9.82,1909.62
8277,79.02,3.02,2.45,9.76,1937.83
697,82.75,2.65,3.14,7.51,1911.97
7625,72.58,2.73,3.53,9.18,1869.96
2430,74.69,3.75,3.08,9.73,1976.84
6787,63.79,2.36,3.69,8.67,1972.29
9300,74.37,1.45,2.23,7.59,1853.33
9839,71.63,3.37,2.0,8.76,1841.49
4782,60.88,2.65,3.13,5.92,1919.7
3011,69.86,3.26,3.14,8.14,1906.19
1159,66.17,2.46,1.33,7.53,1977.24
3311,63.91,1.83,2.69,7.22,1952.07
7598,58.54,2.82,2.5,4.55,1986.77
7046,70.63,2.51,2.3,5.94,1942.58
2486,62.2,2.65,2.49,7.03,1917.87
8838,65.29,3.79,3.3,9.79,1814.63
3411,80.75,1.62,2.49,8.57,1951.72
2234,76.32,2.73,2.51,9.88,1856.97
2343,60.21,1.84,2.19,10.49,1916.82
9180,73.52,0.43,3.63,8.66,1888.08
3476,71.33,2.46,3.22,8.28,1917.52
2459,87.02,2.52,1.75,6.05,1877.62
6259,83.83,3.0,2.51,11.97,1879.36
7194,54.66,2.33,3.26,5.16,1992.06
2885,78.61,1.31,3.64,8.24,2007.52
5236,82.65,1.84,3.42,9.67,2008.78
2302,75.59,3.55,2.82,9.69,1939.68
8655,66.65,1.83,2.03,5.69,1936.67
8620,94.13,3.77,3.44,7.16,1963.98
7116,76.51,3.34,2.85,6.4,1847.33
6034,89.77,2.25,3.03,4.04,1971.93
4561,83.51,1.92,2.91,8.26,2001.09
762,74.64,3.34,2.32,6.56,1907.45
6787,64.2,2.31,3.18,11.01,1994.23
9315,69.76,1.26,3.11,9.23,2021.46
9708,67.78,2.95,2.79,8.08,1948.73
2549,57.85,2.83,3.24,7.05,1981.38
5923,76.5,3.41,2.31,8.23,1866.67
5048,85.67,2.78,2.87,7.49,1983.12
3608,67.02,2.06,3.01,8.14,1894.08
7658,91.64,3.52,2.13,11.8,1921.67
7900,54.42,3.59,2.97,5.87,1946.91
3670,80.54,2.69,3.37,7.66,1774.48
2755,86.72,2.55,2.85,9.41,1959.33
1654,67.96,1.44,2.98,7.2,2090.38
4999,68.14,2.01,3.28,11.16,1829.74
6795,80.43,3.11,2.81,9.36,1915.23
6697,75.06,2.05,2.85,6.56,1832.25
2148,50.03,1.33,2.41,8.41,1915.1
6039,61.57,5.3,2.99,6.59,1824.44
4699,69.86,1.33,2.83,6.41,1952.92
8945,56.3,4.31,3.25,7.72,1951.44
3057,65.26,2.25,3.28,10.53,1965.14
6092,56.55,2.43,3.4,9.49,1886.48
598,66.3,1.96,2.75,7.95,1930.43
2700,66.63,3.13,1.91,9.56,1953.95
3461,73.52,1.35,3.37,8.54,1902.87
5473,69.08,1.03,3.22,5.66,1878.27
4933,75.03,3.79,2.68,7.71,1915.71
3369,73.84,1.86,3.28,7.85,1899.25
1456,80.31,3.1,2.28,9.52,1963.98
8852,78.74,1.63,3.52,6.87,1985.64
6199,77.68,3.07,2.83,6.17,2056.64
7444,101.05,3.85,2.59,7.91,1923.43
4993,73.47,2.08,2.69,6.71,1970.21
9992,95.94,0.95,2.88,7.35,1881.28
5411,74.12,3.85,2.99,7.84,1898.81
4487,69.17,3.24,3.02,7.23,2000.01
6515,66.27,2.12,2.79,9.93,1913.81
1718,85.1,2.33,3.1,10.83,1947.83
4996,86.41,1.61,3.0,9.73,1993.6
5235,76.0,3.64,2.68,4.46,1918.06
5055,81.34,2.07,2.6,6.72,2010.11
9646,57.23,1.37,3.3,7.64,1951.54
8550,54.51,2.67,3.26,4.31,1950.37
3946,82.46,1.81,3.03,6.25,1910.76
1545,68.73,1.68,3.46,7.62,1984.2
7393,77.49,2.16,2.02,7.1,1900.93
2193,62.83,2.57,2.72,8.02,1974.22
3936,86.57,1.4,2.42,5.24,1939.24
9254,54.6,3.61,4.13,7.08,1965.28
6395,56.14,3.04,3.36,8.3,1928.66
3854,84.44,2.21,2.96,8.02,2040.13
725,43.9,1.78,3.39,8.89,1953.97
5393,73.79,2.43,3.56,8.78,1905.97
7522,68.93,3.22,3.55,7.19,1939.23
9651,62.64,3.1,3.46,8.24,1965.91
6100,68.0,3.35,2.87,6.4,1981.99
8496,61.52,2.12,2.75,7.46,1931.11
9507,85.42,0.16,2.52,5.89,1939.2
8183,88.04,3.5,3.25,10.13,1923.5
5142,63.14,2.37,2.92,7.45,1884.27
8179,72.76,3.03,2.79,10.13,1963.72
8708,56.75,3.84,2.76,8.62,1849.93
7839,80.73,4.45,3.73,6.23,1858.65
9935,80.47,1.98,3.48,8.5,1913.25
2705,67.05,2.61,3.92,9.62,1930.73
1569,70.17,3.59,3.26,7.84,1987.72
3944,69.06,1.82,3.03,8.15,1966.66
1560,53.82,2.03,2.99,6.9,1968.44
2827,85.46,2.03,2.49,8.05,1886.71
3920,62.33,2.48,2.37,8.48,1942.65
801,62.4,2.32,3.25,6.84,1959.29
1106,68.5,2.02,2.53,5.84,1971.23
3670,79.96,1.73,3.11,10.58,1917.86
1199,64.09,3.15,3.56,9.21,1978.47
5588,50.48,3.57,2.67,6.9,1916.73
9831,61.13,3.69,4.01,8.44,1930.87
690,74.24,2.12,2.5,5.04,2000.92
1480,91.9,3.18,3.5,4.05,1923.33
3475,57.4,2.69,3.21,10.17,1904.51
6602,57.03,2.04,3.6,8.46,1958.01
1684,54.87,3.09,2.44,7.9,1886.64
3827,53.63,2.01,4.15,8.47,2005.9
3894,82.06,2.2,2.91,14.45,1929.61
8819,84.95,1.4,3.34,9.74,1909.75
2316,71.78,2.13,3.72,5.91,1982.11
6354,65.32,2.7,2.7,4.64,1957.77
7209,87.91,3.76,3.41,10.11,1910.76
1069,71.74,2.22,2.61,9.71,1996.62
5942,80.89,1.67,3.7,9.15,1897.73
2395,64.84,3.7,2.62,6.37,1981.38
3233,70.44,2.1,3.02,8.73,1891.22
4363,57.63,1.1,3.15,6.55,1977.4
7955,76.29,2.61,3.39,9.33,1900.68
4514,71.91,2.24,3.98,9.97,1872.11
2186,61.05,4.34,2.77,6.91,1957.06
3509,61.19,2.88,3.57,10.26,1939.73
8306,86.16,2.38,3.99,8.23,1839.22
654,89.72,1.76,3.08,8.98,1848.02
1909,67.87,2.76,2.72,5.38,1946.05
1284,70.68,3.67,2.13,8.46,2026.51
8596,74.0,2.75,3.94,6.65,1935.03
8060,71.48,1.82,2.88,8.95,1888.08
7843,53.26,2.93,2.5,10.93,1972.86
7706,74.28,2.46,2.32,8.58,1964.02
6096,49.12,2.86,2.5,6.2,1999.76
6301,62.67,2.22,3.46,9.25,1965.83
3306,75.05,2.2,3.53,8.8,1988.11
1037,76.0,2.17,3.33,12.12,1986.2
6486,61.9,3.25,3.07,8.51,1902.25
2341,65.42,2.21,2.38,6.83,1870.27
9216,64.06,2.13,2.64,9.54,1888.97
7471,68.97,1.75,2.45,7.74,1981.74
6125,69.73,2.86,3.29,8.16,1909.45
3450,76.68,2.75,2.47,6.14,1934.45
8492,64.83,2.14,2.64,7.76,1862.74
5280,73.73,1.93,2.91,8.06,1908.01
2868,75.07,4.0,2.17,7.74,1935.41
7155,71.98,1.0,3.02,6.82,1958.07
8673,67.4,2.89,2.95,8.58,1892.06
4995,71.81,3.53,3.59,6.15,1907.36
9663,77.52,-0.21,2.59,5.68,1968.25
6502,78.39,3.14,2.35,9.42,1935.11
7114,88.15,2.32,2.81,9.24,1940.58
9858,60.1,2.7,2.45,5.38,1992.43
6419,65.6,2.24,3.02,4.34,1911.3
1353,53.87,3.36,2.07,5.98,1952.99
4646,79.31,2.79,2.7,7.74,1960.37
4269,66.65,2.61,2.54,10.31,1891.65
1074,72.06,1.78,3.28,7.69,1970.59
1648,63.96,4.01,2.59,6.46,1949.12
6793,66.73,2.51,2.13,8.3,2064.14
6957,82.23,4.33,2.9,7.77,1918.03
8009,76.94,4.04,3.16,5.24,1972.98
5277,68.88,1.08,2.86,5.25,1986.89
4354,77.68,1.98,2.69,5.3,1884.63
2991,77.9,1.67,2.66,12.96,1861.76
3624,66.09,2.46,3.06,9.72,1953.64
6191,55.31,2.65,2.56,6.81,1996.97
3551,61.01,2.68,2.84,10.22,1955.29
504,56.59,3.34,3.38,6.86,1964.22
5722,81.64,3.69,2.35,10.15,1903.72
5815,83.38,3.27,2.98,8.16,1857.08
5369,85.86,2.05,2.11,6.68,1883.32
1376,49.8,1.87,3.11,9.36,1879.89
9683,80.71,2.5,2.51,8.28,1852.32
7527,92.12,2.84,3.51,8.8,1888.05
4642,81.12,2.35,2.26,8.43,1971.38
7466,48.49,1.42,3.22,8.41,1912.59
7579,87.68,3.05,3.61,9.6,1926.15
8487,70.42,2.19,2.48,13.17,1917.46
7299,67.68,2.16,2.57,10.5,1946.74
4965,74.51,2.46,2.53,8.44,1881.18
1135,59.51,2.31,2.76,7.38,2012.33
2193,70.03,2.21,3.26,7.6,1881.74
5252,86.2,1.48,2.72,5.49,1915.29
8811,76.22,2.41,2.44,9.33,1910.87
1330,70.58,3.06,1.99,5.97,1989.91
5677,70.9,2.71,3.8,7.26,2002.47
9432,58.19,3.26,3.84,9.34,1951.15
8808,68.5,1.92,3.28,7.53,1991.87
6449,53.66,1.48,2.59,7.02,1897.45
3338,80.22,2.3,3.37,5.61,2005.59
1650,48.14,2.01,3.47,10.41,2009.52
8060,78.55,2.09,2.87,6.33,1802.12
2431,79.79,2.67,3.02,6.83,1935.33
9704,83.19,2.1,3.62,4.42,1946.73
2164,70.87,1.5,2.18,7.96,1927.07
1581,79.17,2.05,3.5,7.33,1899.81
1012,68.4,2.77,2.85,8.36,2059.44
8305,58.13,3.04,2.44,5.65,1927.79
5737,85.31,3.03,2.48,9.47,1928.25
1059,69.03,2.84,2.57,4.32,1893.01
4172,55.9,2.37,2.39,7.82,1912.95
7904,65.33,2.82,3.89,8.23,1877.32
3843,65.73,2.47,3.25,8.12,1996.98
4570,74.62,2.59,3.53,8.32,1961.63
1080,93.47,1.75,3.28,9.58,1921.47
7504,75.22,2.54,3.03,10.65,1945.32
8630,72.07,2.8,3.04,7.69,1903.1
3647,94.56,2.77,2.8,6.06,1947.78
4749,79.79,1.47,2.84,9.12,1948.46
2179,72.54,2.58,2.3,7.44,1968.9
4006,65.21,1.34,3.54,10.53,1959.97
7753,73.16,2.64,2.09,6.8,1941.12
3244,69.34,1.94,2.47,6.28,2011.59
9935,70.91,3.86,4.01,8.29,1937.37
5688,83.14,2.6,3.07,4.52,1916.13
2641,64.6,3.14,3.09,7.07,1942.39
7117,75.14,4.19,3.32,7.34,1978.06
2979,79.49,1.85,2.23,8.44,1949.43
6984,63.38,2.85,2.3,6.01,1908.7
7921,61.77,1.55,2.78,6.24,1898.76
4952,68.5,2.78,2.55,10.31,1944.08
6381,65.38,3.91,2.96,7.97,1880.15
7165,81.52,2.0,3.24,9.73,1985.84
3349,59.98,1.79,3.69,6.92,1901.42
7890,70.68,2.43,3.41,7.89,1996.08
7405,95.46,4.14,2.5,8.43,1891.73
2989,74.13,3.12,2.81,11.5,1881.75
9707,75.79,1.78,2.68,7.56,1923.31
5111,81.61,3.66,2.49,7.67,1877.49
3339,65.37,1.18,2.38,10.2,1948.97
9027,59.19,4.21,3.83,7.24,1883.98
6378,71.77,3.19,3.01,8.57,1971.05
9587,72.65,3.91,2.89,10.02,1908.31
6803,53.82,1.18,3.24,6.85,1880.72
1351,73.75,2.64,3.27,8.68,1921.59
2187,80.7,2.39,3.56,11.49,1978.04
7333,60.87,1.69,2.63,9.84,1991.48
2927,74.36,1.46,3.2,8.57,1947.04
4500,78.92,2.91,2.54,7.55,1880.81
5552,75.87,2.98,2.9,6.79,1982.9
3238,76.81,3.54,3.03,6.02,1975.13
6232,67.55,2.1,3.08,11.02,1993.03
5887,58.72,2.39,3.06,10.63,1945.68
8502,65.53,1.39,3.4,6.69,1901.62
6036,64.14,3.73,2.7,8.68,1950.15
4413,69.2,2.56,3.09,8.22,1954.54
1566,80.93,3.08,2.62,10.37,1913.43
8223,56.88,3.11,4.46,8.77,1931.97
4880,71.44,3.67,2.54,7.95,1919.22
4607,59.37,1.83,2.65,6.92,1982.1
6226,62.6,3.06,3.44,8.68,1953.25
3873,75.59,2.48,2.79,7.3,1887.61
9445,58.1,4.18,3.44,8.44,1851.04
2582,77.34,1.83,3.08,7.85,1944.63
9467,56.48,3.44,2.8,7.26,1914.87
7248,76.67,2.78,2.62,6.05,1961.07
917,54.5,2.74,2.61,9.03,1982.71
8806,63.82,2.54,2.8,8.09,1990.52
9308,88.96,3.58,2.91,11.57,1873.98
4474,87.09,2.71,2.58,5.94,1907.99
3767,65.87,1.28,2.95,9.25,1899.04
1325,73.9,3.48,2.45,7.83,1984.43
8168,82.04,3.33,3.38,12.2,1907.45
6245,76.81,2.97,3.47,9.1,1831.49
912,67.27,1.6,2.65,8.65,1969.69
8043,62.51,1.72,2.62,7.84,1939.21
8087,78.68,1.0,3.09,6.59,1920.04
1228,81.31,2.87,3.63,8.62,1964.28
7664,87.16,1.42,3.74,5.24,1867.04
9367,53.13,1.12,2.3,5.33,2010.28
6488,57.47,3.52,3.5,10.02,1943.7
3004,81.62,3.11,2.97,4.48,1855.48
3467,54.48,2.23,2.98,7.36,1949.8
3286,82.39,2.39,3.25,5.9,1964.89
1622,67.85,0.57,2.76,7.2,1907.76
4579,64.79,3.23,3.55,8.37,1962.74
2071,72.05,1.95,3.71,9.97,2034.79
5573,56.55,2.76,3.73,10.44,1900.95
5604,78.24,0.51,2.08,6.16,1962.3
2643,86.9,3.28,2.89,7.07,1949.92
7306,78.71,1.9,2.03,16.11,1958.67
7857,67.53,1.4,2.62,7.5,1922.0
3940,54.62,2.23,1.8,6.24,1893.67
4266,55.0,2.02,3.23,6.57,1993.88
6144,56.7,3.36,3.11,7.51,1880.06
3414,69.88,2.16,2.78,7.21,2036.35
5468,71.13,3.59,2.6,7.53,1955.31
6417,78.68,2.76,3.16,7.96,1894.95
9287,52.04,3.22,2.49,7.94,1970.36
1228,83.11,2.5,2.46,6.09,1951.75
1865,76.94,3.52,2.4,8.74,1930.61
4992,66.73,1.58,2.9,8.24,1906.52
1198,58.1,2.59,2.71,8.99,1861.66
7686,82.49,2.18,2.81,4.57,1954.91
895,67.0,3.62,3.26,8.31,1869.97
7900,69.8,3.7,3.48,4.03,1882.31
8582,73.84,2.5,3.73,7.65,1940.07
4671,60.87,1.47,3.03,9.32,1918.08
4860,67.18,2.84,3.17,10.09,1940.41
3002,78.65,1.17,3.09,8.67,1888.04
1217,77.64,3.8,2.16,9.35,1924.5
3282,77.73,2.12,2.82,7.4,1952.38
5446,58.45,2.48,2.82,6.98,1890.43
5986,67.63,1.96,2.74,13.39,2009.69
8835,66.04,1.78,2.98,9.65,1886.73
5480,74.25,3.09,2.89,5.65,2001.1
7766,73.36,2.37,2.51,4.53,1917.15
4991,71.55,2.53,2.92,7.07,1857.74
7692,94.66,1.7,2.68,10.38,1857.59
6088,67.09,3.18,1.69,8.1,1933.57
8151,65.92,3.27,2.3,3.55,1974.03
4136,58.43,2.33,3.04,7.65,2033.23
1667,54.62,3.51,3.55,8.0,1959.24
1562,57.8,2.42,1.79,3.17,1902.71
2656,62.81,3.12,2.56,8.05,1959.25
8360,83.1,1.2,3.22,5.97,1883.49
5661,70.39,2.78,3.44,4.33,1956.67
5805,71.93,2.28,2.79,11.21,1879.69
7041,69.04,2.62,2.66,5.88,1823.0
5229,73.65,2.59,3.61,6.67,2001.87
9848,84.02,2.6,3.4,6.64,1898.07
7830,50.06,2.99,3.43,8.0,1928.23
5834,82.18,2.05,2.77,11.53,1974.01
9424,44.85,2.96,3.56,5.61,2017.27
4830,70.28,3.49,2.03,7.39,1966.3
8510,91.92,1.37,3.57,8.24,1922.95
7301,76.81,1.88,2.97,6.26,1950.75
5346,73.73,1.91,3.06,7.35,1921.96
7231,90.02,1.63,2.53,9.19,1921.77
7741,62.97,2.12,2.09,6.49,1933.49
1453,74.34,3.33,3.05,7.32,1909.57
3039,75.78,3.66,3.28,7.14,1940.68
7556,64.78,2.58,3.35,7.79,1943.26
2042,65.66,2.24,3.3,8.49,1978.61
5793,64.56,3.14,3.18,9.17,1950.44
1691,70.87,0.61,2.54,11.88,1887.54
6813,75.47,1.66,3.38,2.68,1999.2
7438,71.23,0.64,2.48,7.67,1989.01
3181,77.09,1.65,3.55,5.27,1947.11
9909,50.31,1.89,2.96,7.23,1943.76
2040,67.82,3.68,2.97,9.76,1931.53
6672,59.77,0.29,3.43,10.4,1976.12
6041,73.02,2.17,3.5,10.49,1887.59
1865,72.87,3.0,3.39,10.47,2012.01
9191,68.84,2.83,2.59,7.65,1948.06
9202,75.1,3.67,3.38,10.8,1939.94
7994,79.98,2.63,2.59,11.19,1906.03
4812,69.39,2.8,3.39,8.28,1864.85
1824,59.48,1.03,2.29,10.35,2001.14
9847,54.19,1.71,2.95,8.08,1850.76
3641,70.36,1.07,2.59,10.82,1989.09
7919,72.42,2.96,3.43,7.68,1880.61
3986,60.3,2.78,3.56,6.78,1865.68
2310,77.26,2.75,3.1,5.76,1949.13
7088,65.41,1.79,3.08,7.65,1989.81
3423,53.44,1.72,3.35,8.17,1904.42
5801,82.56,2.67,3.56,6.11,2010.78
4686,81.44,1.96,3.02,7.5,1969.97
9405,49.84,1.68,2.75,6.95,1932.54
6477,64.37,2.09,3.32,5.85,1913.94
4768,63.98,1.97,2.07,10.07,1917.86
5248,86.39,1.81,3.45,10.42,1951.57
5349,69.01,1.52,2.64,10.06,1977.44
9935,55.04,2.86,2.88,7.83,1883.85
4209,78.82,3.74,3.46,7.96,1891.26
9773,57.69,2.47,2.79,5.87,1907.56
7119,67.4,2.68,3.32,8.83,1993.86
9147,62.3,2.93,3.57,8.34,1854.71
9586,64.4,2.79,3.06,13.69,1961.51
3572,79.37,1.82,3.16,10.17,1942.41
7030,85.21,3.88,2.94,8.63,1830.19
1004,57.26,1.89,3.06,7.92,1939.51
1714,76.26,3.02,2.44,10.0,1973.82
2031,62.67,2.92,2.85,6.17,2042.98
8076,62.98,0.93,2.36,10.28,1859.01
1323,74.91,2.21,2.55,5.83,1815.26
1428,59.72,2.55,2.0,6.88,1890.4
5529,74.71,2.61,3.13,4.32,1993.19
633,77.3,2.74,3.85,9.23,1864.11
2605,65.67,3.11,2.77,8.5,2019.38
4127,83.27,2.49,3.48,6.88,1999.31
6816,57.27,2.78,3.56,6.14,1942.3
2352,83.45,2.46,2.4,10.76,1908.25
5410,50.56,1.69,2.51,7.73,1945.52
4675,97.0,2.53,3.5,6.47,1962.72
5848,65.94,3.1,2.95,11.84,1946.54
